date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Hour,DayOfWeek,Is_Weekend,Part_of_Day,Is_Working_Hour,Average_Indoor_Temperature,Average_Indoor_Humidity,Delta_T,Temp_Difference_Rooms,Thermal_Comfort_Index,Energy_Lag_1,Energy_Rolling_Mean,Energy_Rolling_Std
2016-01-11 17:50:00,50,40,19.89,46.0266666666667,19.2,44.5,19.79,44.933333333333294,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17.0,45.29,6.01666666666667,734.0,92.0,5.3333333333333295,43.83333333333329,4.8,44.91948424838483,44.91948424838483,17,0,0,Öğle,1,17.048518518518513,50.79185185185186,11.031851851851844,13.59,16.358775196021945,60.0,55.0,5.47722557505166
2016-01-11 18:00:00,60,50,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.263333333333329,86.09,17.1333333333333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.233763430267565,47.233763430267565,18,0,0,Akşam,1,17.040740740740738,50.78814814814816,11.140740740740737,13.626666666666672,16.353050677640603,50.0,55.0,5.47722557505166
2016-01-11 18:10:00,60,50,19.8566666666667,45.56,19.2,44.5,19.73,44.9,18.89,45.863333333333294,17.1,54.9,6.19,86.42333333333329,17.1,41.2,18.1,48.59,17.0,45.29,5.91666666666667,734.1666666666669,91.8333333333333,5.16666666666667,40.0,4.68333333333333,33.03988962434232,33.03988962434232,18,0,0,Akşam,1,17.01851851851852,50.80296296296296,11.10185185185185,13.6666666666667,16.337048449931412,60.0,55.0,5.47722557505166
2016-01-11 18:20:00,60,40,19.79,45.5975,19.2,44.433333333333294,19.73,44.79,18.89,45.79,17.1666666666667,55.0,6.1233333333333295,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17.0,45.29,5.93333333333333,734.233333333333,91.6666666666667,5.3333333333333295,40.0,4.66666666666667,31.455702194944024,31.455702194944024,18,0,0,Akşam,1,17.018518518518526,50.901944444444446,11.085185185185196,13.66666666666667,16.338419526748975,60.0,56.666666666666664,5.163977794943222
2016-01-11 18:30:00,70,40,19.8566666666667,46.09,19.23,44.4,19.79,44.863333333333294,18.89,46.09666666666671,17.1,55.0,6.19,87.6266666666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.2999999999998,91.5,5.5,40.0,4.65,3.089313523378223,3.089313523378223,18,0,0,Akşam,1,17.039629629629633,51.05074074074075,11.089629629629634,13.6666666666667,16.355908189231826,60.0,60.0,6.324555320336759
2016-01-11 18:40:00,230,70,19.9266666666667,45.863333333333294,19.3566666666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8666666666667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.96666666666667,734.366666666667,91.3333333333333,5.66666666666667,40.0,4.633333333333329,10.298728744965047,10.298728744965047,18,0,0,Akşam,1,17.066759259259264,51.22861111111112,11.100092592592594,13.7366666666667,16.378244982163068,70.0,88.33333333333333,69.6897888263888
2016-01-11 18:50:00,580,60,20.066666666666695,46.3966666666667,19.4266666666667,44.4,19.79,44.8266666666667,19.0,46.43,17.1,55.0,6.1233333333333295,87.9933333333333,17.53,44.26333333333329,18.066666666666695,48.6333333333333,16.89,45.29,5.98333333333333,734.4333333333329,91.1666666666667,5.8333333333333295,40.0,4.61666666666667,8.827837626449764,8.827837626449764,18,0,0,Akşam,1,17.110370370370376,51.47037037037037,11.127037037037045,13.943333333333365,16.413628680384093,230.0,176.66666666666666,208.6783809278447
2016-01-11 19:00:00,430,50,20.1333333333333,48.0,19.566666666666695,44.4,19.89,44.9,19.0,46.363333333333294,17.1,55.09,6.1233333333333295,88.59,17.8233333333333,45.4933333333333,18.066666666666695,48.56,16.9633333333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,34.35114233288913,34.35114233288913,19,0,0,Akşam,0,17.18518518518518,51.85407407407407,11.18518518518518,14.009999999999971,16.474141186556924,580.0,238.33333333333334,221.5776763725684
2016-01-11 19:10:00,250,40,20.26,52.7266666666667,19.73,45.1,19.89,45.4933333333333,19.0,47.223333333333294,17.1,55.1633333333333,6.0675,88.215,17.9633333333333,46.16,18.033333333333296,48.66666666666671,16.89,45.3266666666667,6.0,734.616666666667,90.5,6.0,40.0,4.51666666666667,19.205185910686847,19.205185910686847,19,0,0,Akşam,0,17.214907407407395,52.675,11.214907407407395,14.192500000000003,16.508250945601844,430.0,270.0,203.86269889315207
2016-01-11 19:20:00,100,10,20.4266666666667,55.893333333333295,19.8566666666667,45.83333333333329,20.033333333333296,47.5266666666667,19.0,48.6966666666667,17.1,55.5,5.9,88.1566666666667,17.9633333333333,45.533333333333296,18.1,49.19333333333329,16.89,45.345,6.0,734.733333333333,90.0,6.0,40.0,4.43333333333333,38.49207099992782,38.49207099992782,19,0,0,Akşam,0,17.25222222222222,53.51981481481481,11.252222222222219,14.526666666666701,16.54864133014403,250.0,276.6666666666667,196.1292091114086
